time,id
232113,ba71033c
232116,45880daa
232119,8262f20b
232122,0cdc290b
232124,d2f3fb0b
232126,e2ae200c
232134,e2ae200c
232136,d2f3fb0b
232138,0cdc290b
232140,8262f20b
232142,45880daa
232144,ba71033c
232427,ba71033c
232457,45880daa
232500,8262f20b
232504,0cdc290b
232506,d2f3fb0b
232520,45880daa
232522,ba71033c
232525,d2f3fb0b
232528,0cdc290b
232530,8262f20b
232533,e2ae200c
232538,e2889a0c
232540,1249fb0b
232542,b27d1f0c
232544,2275f70b
233033,ba71033c
233039,45880daa
233042,2275f70b
233044,b27d1f0c
233047,1249fb0b
233050,e2889a0c
233053,e2ae200c
233056,8262f20b
233059,e282200c
233103,e282200c
233107,1249fb0b
233113,45880daa
233117,ba71033c
233120,ba71033c
020346,0cdc290b
020348,d2f3fb0b
020351,e282200c
020354,8262f20b
020356,e2ae200c
020359,e2889a0c
020401,1249fb0b
020457,1249fb0b
020459,e2889a0c
020502,e2ae200c
020504,8262f20b
020506,e282200c
020509,d2f3fb0b
020511,0cdc290b
020513,b27d1f0c
020516,2275f70b
023117,2275f70b
023119,b27d1f0c
023123,0cdc290b
023126,d2f3fb0b
023128,e282200c
023152,e282200c
023153,d2f3fb0b
023156,0cdc290b
023158,b27d1f0c
023321,2275f70b
023324,8262f20b
023417,8262f20b
023420,b27d1f0c
023423,0cdc290b
023453,0cdc290b
023458,b27d1f0c
023500,8262f20b
023502,2275f70b
023519,d2f3fb0b
023521,e2ae200c
023523,e2889a0c
023525,1249fb0b
023527,324bfa0b
023530,e282200c
023655,72c8970c
023658,3274440c
023700,45880daa
023747,ba71033c
023759,e282200c
023829,e282200c
023832,ba71033c
023835,45880daa
023838,3274440c
023841,72c8970c
023847,72c8970c
023849,3274440c
023850,45880daa
023852,ba71033c
023857,e282200c
023900,324bfa0b
024036,ba71033c
024038,45880daa
024042,324bfa0b
024045,e282200c
024048,72c8970c
024201,45880daa
024206,45880daa
024210,ba71033c
024212,72c8970c
024215,e282200c
024218,324bfa0b
024239,ba71033c
024241,45880daa
024244,324bfa0b
024245,324bfa0b
024248,324bfa0b
024253,3274440c
024340,45880daa
024342,ba71033c
024346,324bfa0b
024348,e282200c
024351,72c8970c
024354,3274440c
024637,ba71033c
024640,45880daa
024644,3274440c
024647,72c8970c
024650,e282200c
024737,45880daa
024739,ba71033c
024742,3274440c
024747,1249fb0b
024750,e2889a0c
024753,e2ae200c
024934,ba71033c
024937,45880daa
024942,d2f3fb0b
024945,2275f70b
024948,8262f20b
025039,ba71033c
025042,45880daa
025046,d2f3fb0b
025049,2275f70b
025223,8262f20b
025225,b27d1f0c
025227,0cdc290b
025323,45880daa
025326,ba71033c
025328,0cdc290b
025331,b27d1f0c
025334,8262f20b
025336,2275f70b
025500,ba71033c
025525,ba71033c
025527,45880daa
025554,45880daa
025556,ba71033c
025559,d2f3fb0b
025703,ba71033c
025705,45880daa
025707,2275f70b
025710,8262f20b
025817,ba71033c
025819,45880daa
025822,2275f70b
025824,8262f20b
025827,b27d1f0c
025830,0cdc290b
025859,ba71033c
025901,45880daa
030125,45880daa
030127,ba71033c
030132,0cdc290b
030136,b27d1f0c
030152,0cdc290b
030154,ba71033c
030156,45880daa
030201,b27d1f0c
030524,ba71033c
030526,45880daa
030528,8262f20b
030530,2275f70b
030534,d2f3fb0b
030641,45880daa
030644,ba71033c
030646,8262f20b
030810,ba71033c
030812,45880daa
030820,ba71033c
030823,45880daa
030826,b27d1f0c
033948,45880daa
033950,ba71033c
034029,45880daa
034032,ba71033c
034054,45880daa
034118,45880daa
034124,ba71033c
034128,45880daa
034133,b27d1f0c
034213,ba71033c
034215,45880daa
034449,45880daa
034538,ba71033c
034553,ba71033c
034555,45880daa
034606,45880daa
034608,ba71033c
034747,45880daa
034818,ba71033c
034822,45880daa
035113,ba71033c
035117,45880daa
035128,ba71033c
035130,45880daa
035212,ba71033c
035221,ba71033c
035224,45880daa
035229,45880daa
035254,ba71033c
035257,45880daa
035416,45880daa
035511,45880daa
035514,ba71033c
035518,0cdc290b
035524,b27d1f0c
035531,8262f20b
035632,e282200c
035634,72c8970c
035636,3274440c
035701,45880daa
035703,ba71033c
035706,0cdc290b
035708,b27d1f0c
035710,8262f20b
035712,2275f70b
035714,d2f3fb0b
035715,e2ae200c
035725,72c8970c
035727,e282200c
040027,45880daa
040030,ba71033c
040155,ba71033c
040157,45880daa
040200,e282200c
040219,45880daa
040221,ba71033c
040237,ba71033c
040314,ba71033c
040316,45880daa
040320,e282200c
040322,45880daa
040325,e2ae200c
040326,d2f3fb0b
040456,ba71033c
040459,e282200c
040503,e2ae200c
040504,d2f3fb0b
134256,e2ae200c
134257,d2f3fb0b
134301,2275f70b
144533,ba71033c
144535,45880daa
144536,45880daa
144549,45880daa
144551,ba71033c
150703,e282200c
150706,8262f20b
150708,b27d1f0c
150735,45880daa
150737,ba71033c
150801,ba71033c
150804,45880daa
150811,b27d1f0c
150814,8262f20b
150816,e282200c
150819,0cdc290b
150821,e2889a0c
150824,1249fb0b
151403,45880daa
151404,ba71033c
151510,1249fb0b
151512,e2889a0c
151514,0cdc290b
151517,e282200c
151519,8262f20b
151521,b27d1f0c
151524,b27d1f0c
151540,3274440c
151542,3274440c
151745,72c8970c
151750,b27d1f0c
151759,ba71033c
151806,45880daa
151816,45880daa
151823,ba71033c
151830,45880daa
151842,45880daa
152255,45880daa
152258,ba71033c
152303,8262f20b
152305,e282200c
152307,0cdc290b
152312,e2889a0c
152314,1249fb0b
152315,b27d1f0c
152317,72c8970c
152623,ba71033c
152645,45880daa
154649,ba71033c
154651,45880daa
154656,72c8970c
154949,45880daa
154952,ba71033c
155103,72c8970c
155106,b27d1f0c
155215,ba71033c
155219,45880daa
155242,45880daa
155245,ba71033c
155315,b27d1f0c
155317,72c8970c
155336,ba71033c
155338,45880daa
155341,72c8970c
155344,b27d1f0c
155347,1249fb0b
155437,ba71033c
155438,45880daa
155501,ba71033c
155503,45880daa
155508,1249fb0b
155512,b27d1f0c
155515,72c8970c
155650,72c8970c
155653,b27d1f0c
155656,1249fb0b
155658,45880daa
155700,45880daa
155704,ba71033c
155830,ba71033c
155832,45880daa
155835,45880daa
155845,1249fb0b
155946,b27d1f0c
155950,72c8970c
160234,72c8970c
160235,b27d1f0c
160239,1249fb0b
160241,45880daa
160243,ba71033c
160443,45880daa
160449,ba71033c
160451,45880daa
160502,45880daa
160604,45880daa
160641,45880daa
160653,ba71033c
160656,45880daa
160700,45880daa
160749,45880daa
160818,1249fb0b
160840,45880daa
160849,ba71033c
161022,1249fb0b
161025,b27d1f0c
161102,45880daa
161105,ba71033c
161115,1249fb0b
161117,b27d1f0c
161131,45880daa
161133,ba71033c
161136,b27d1f0c
161140,1249fb0b
161143,72c8970c
161149,45880daa
161236,3274440c
161238,e2ae200c
161240,d2f3fb0b
161243,2275f70b
161336,45880daa
161338,ba71033c
161343,2275f70b
161347,d2f3fb0b
161351,e2ae200c
161402,3274440c
161409,b27d1f0c
161443,b27d1f0c
161447,ba71033c
161450,45880daa
161453,e2ae200c
161456,d2f3fb0b
161500,ba71033c
161502,ba71033c
161504,ba71033c
161506,ba71033c
161554,8262f20b
161558,324bfa0b
161716,45880daa
161721,ba71033c
161733,45880daa
161736,ba71033c
161758,45880daa
161801,ba71033c
161830,45880daa
161840,45880daa
161843,ba71033c
161927,2275f70b
161929,d2f3fb0b
161934,e2ae200c
161946,45880daa
162003,45880daa
162043,45880daa
162047,ba71033c
162151,45880daa
162154,ba71033c
162222,45880daa
162225,ba71033c
162238,2275f70b
162242,d2f3fb0b
162414,45880daa
162449,45880daa
162454,ba71033c
162640,45880daa
162914,ba71033c
162954,45880daa
162958,ba71033c
164405,45880daa
164407,ba71033c
164456,45880daa
164627,45880daa
164646,45880daa
164706,45880daa
164835,45880daa
164906,45880daa
164909,ba71033c
164941,45880daa
170821,45880daa
170912,45880daa
171021,45880daa
171221,45880daa
171242,45880daa
171245,ba71033c
171526,45880daa
171554,ba71033c
171922,45880daa
172010,45880daa
172059,45880daa
172102,ba71033c
172221,45880daa
172224,ba71033c
172245,45880daa
172250,ba71033c
172347,2275f70b
172406,ba71033c
172409,45880daa
172416,ba71033c
172442,ba71033c
172445,ba71033c
172457,ba71033c
172511,ba71033c
172540,ba71033c
172552,ba71033c
172612,45880daa
172616,2275f70b
172619,d2f3fb0b
172621,e2ae200c
172659,45880daa
172701,ba71033c
172703,324bfa0b
172707,8262f20b
172710,e282200c
172712,0cdc290b
172716,e2889a0c
172919,ba71033c
172923,45880daa
172928,e2ae200c
172931,d2f3fb0b
172935,2275f70b
172941,3274440c
173128,ba71033c
173131,45880daa
173136,e2ae200c
173139,d2f3fb0b
173142,2275f70b
173145,3274440c
173150,b27d1f0c
173153,1249fb0b
173157,72c8970c
173536,ba71033c
173542,45880daa
173559,e2ae200c
173734,45880daa
173904,45880daa
173944,45880daa
174011,45880daa
174054,45880daa
174057,45880daa
174143,45880daa
174336,45880daa
174420,45880daa
174425,ba71033c
174510,45880daa
174513,ba71033c
174716,45880daa
174740,45880daa
174804,ba71033c
174815,e2ae200c
174817,d2f3fb0b
174820,2275f70b
175116,ba71033c
175202,ba71033c
175205,45880daa
175214,ba71033c
175219,e2ae200c
175226,ba71033c
175227,45880daa
175230,e2ae200c
175232,d2f3fb0b
175234,2275f70b
175238,3274440c
175814,ba71033c
175818,45880daa
175824,3274440c
175827,2275f70b
175832,d2f3fb0b
175844,324bfa0b
180019,72c8970c
180022,e2889a0c
180025,0cdc290b
180028,8262f20b
180113,45880daa
180114,ba71033c
180118,3274440c
180121,2275f70b
180124,d2f3fb0b
180901,ba71033c
180902,45880daa
180910,d2f3fb0b
180932,d2f3fb0b
180934,3274440c
181035,324bfa0b
181113,ba71033c
181114,45880daa
181124,d2f3fb0b
181128,2275f70b
181131,ba71033c
181135,e2ae200c
181308,ba71033c
181309,45880daa
181324,45880daa
181357,45880daa
185952,45880daa
190101,45880daa
190118,45880daa
190132,45880daa
190145,45880daa
190206,45880daa
190249,45880daa
190314,45880daa
190355,45880daa
190543,ba71033c
191322,ba71033c
191427,45880daa
191744,ba71033c
191843,ba71033c
191943,ba71033c
192000,ba71033c
192024,ba71033c
